AATS2i,BIC3,ETA_BetaP_s,GATS6m,IC2,JGI3,MDEN-22,MLFER_BO,WTPT-5,maxHother,maxaaN,maxssNH,nT6HeteroRing
1.117616412,-2.27155815,0.684452776,0.487576791,-0.4874262,-0.555443697,-0.947148828,-0.248583194,0.146971147,0.464584616,0.476605982,-0.206028845,0.706908392
-0.303768741,-0.445693226,0.40751496,-0.571033289,-0.30816234,0.542046562,0.013633092,-0.634187238,-0.427320964,-0.480561503,0.623213211,0.202432135,0.706908392
1.431233423,-1.291373834,0.981552275,-0.593995881,-0.598623919,0.066217732,0.013633092,0.046290486,0.629038439,-0.96524138,0.795960003,0.580069679,1.85768619
-0.30134351,-0.410025993,0.893677775,-0.441501382,-0.315351003,0.855047351,0.389961367,-0.744507111,0.05593836,-0.516477365,0.572426804,0.165928146,1.85768619
0.014615986,-2.513015176,-0.603612398,0.11044493,-1.660419269,-0.930354642,0.675743748,-0.067122468,-0.467973727,-2.757855937,-1.70372416,1.612901096,-0.443869406
0.457016074,0.628609371,-0.015499947,0.44635245,0.631265052,-0.110843412,-1.052017926,0.620572444,0.017352086,0.558500471,0.474141531,-2.058507018,-0.443869406
1.140287141,-2.258345215,1.211699773,0.809763468,-0.708205423,-0.937140334,-0.947148828,-0.140325375,0.545599482,0.566636401,0.400182144,-0.493815078,0.706908392
-0.505585221,0.705276562,0.116882416,0.000981777,0.784954724,1.342373125,2.426814379,1.142272033,1.497629181,0.17190323,-0.999348891,-0.059755246,0.706908392
-0.367747467,0.147363437,-0.155490492,0.967698262,0.530157185,2.130511187,2.426814379,1.117527388,1.494765965,0.154467261,-0.397461618,-0.035325757,0.706908392
-0.648455337,0.865992713,-0.099189947,0.266801227,0.711421091,2.035852639,1.414996961,0.899980722,1.000432253,0.170546035,-1.534214261,-0.059378591,-0.443869406
-1.380117973,1.839691035,-0.584211535,-0.352849911,1.360386689,2.412903076,0.528026277,0.088562587,0.581593929,0.079018458,-1.70372416,0.110432163,-0.443869406
-1.300750783,0.990206931,-0.716593898,0.50287813,0.715669536,2.041838508,0.528026277,0.027732003,0.581949178,0.10129487,-1.70372416,0.081345744,-0.443869406
-0.169884584,1.599844163,-0.576222944,-0.036872845,0.470339939,1.776722959,0.528026277,-0.398082088,0.347575216,0.073773134,-1.70372416,-0.438417649,-0.443869406
